Field, Oe	Frequency 1, GHz	Frequency 2, GHz	Bandwidth 1, GHz	Bandwidth 2, GHz
2850,00	3,3845040650	3,7034505720	0,1085894731	0,1491912228
2850,50	3,3809386150	3,7040843190	0,0998473281	0,0042460790
2851,00	3,3760199363	3,7036755198	0,1256059709	0,0040272357
2851,50	3,3887985375	3,7036530235	0,1107693647	0,4114634755
2852,00	3,3775836325	3,7038910171	0,1207500416	0,0064868283
2852,50	3,3792550619	3,7038799092	0,1165809576	0,0085177874
2853,00	3,3796903360	3,7040944141	0,1040187385	0,0086997758
2853,50	3,3810873972	3,7043719276	0,1099652871	0,0102965630
2854,00	3,3819210329	3,7042865019	0,0895530656	0,0112854147
2854,50	3,3834948891	3,7040752025	0,1001824677	0,0108623435
2855,00	3,3850815386	3,7043986083	0,1202438007	0,0147472277
2855,50	3,3857540873	3,7043390509	0,1324985611	0,0135779162
2856,00	3,3873120352	3,7039803129	0,1406779602	0,0129298710
2856,50	3,3879740596	3,7040691256	0,1453399470	0,0114173104
2857,00	3,3897185000	3,7037905110	0,1492256510	0,0139447553
2857,50	3,3903623644	3,7036686262	0,1412394467	0,0079253557
2858,00	3,4023001810	3,7035366238	0,1211607726	1,0492940029
2858,50	3,3926610765	3,7037728394	0,1164451123	0,0097559742
2859,00	3,3942171506	3,7035429230	0,1059987500	0,0094391016
2859,50	3,4060151374	3,7038328324	0,1145287232	1,9616632918
2860,00	3,4069602359	3,7037653853	0,1212209114	2,1226004196
2860,50	3,3982051837	3,7039386182	0,1135254948	0,0095497394
2861,00	3,3987976691	3,7037716660	0,1132180672	0,0089051054
2861,50	3,4004552213	3,7038053203	0,1086994633	0,0116916577
2862,00	3,4093180985	3,7036650929	0,1015236100	6,0876560028
2862,50	3,4026209720	3,7037914353	0,1220887559	0,0068229463
2863,00	3,4035554844	3,7039537524	0,1206401095	0,0106427542
2863,50	3,4139176846	3,7039278766	0,1268310233	0,4781735403
2864,00	3,4148479525	3,7042964150	0,1178176113	1,8648021397
2864,50	3,4073557592	3,7039852756	0,1238203235	0,0085634245
2865,00	3,4089795032	3,7039422857	0,1424057985	0,0115963196
2865,50	3,4097861566	3,7039306148	0,1446928921	0,0089080511
2866,00	3,4113415233	3,7037321368	0,1183410488	0,0084384793
2866,50	3,4123360492	3,7035043051	0,1235208296	0,0130476491
2867,00	3,4138891312	3,7037442681	0,1325212459	0,0125302327
2867,50	3,4145658186	3,7036059370	0,1191380766	0,0110374283
2868,00	3,4160520928	3,7035168155	0,1185545299	0,0104619852
2868,50	3,4175722132	3,7034051026	0,1105505078	0,0102688637
2869,00	3,4186616505	3,7034507904	0,1013167279	0,0143723730
2869,50	3,4200432953	3,7037412236	0,1184243668	0,0108575507
2870,00	3,4206175919	3,7034084739	0,1149050214	0,0067689124
2870,50	3,4222914988	3,7035318204	0,1133133124	0,0088430256
2871,00	3,4229448858	3,7035233095	0,1157914583	0,0076129489
2871,50	3,4245894571	3,7035014281	0,1275530347	0,0108883777
2872,00	3,4254443697	3,7032720983	0,1236360453	0,0118570601
2872,50	3,4268377093	3,7035993501	0,1119647201	0,0085618533
2873,00	3,4286508956	3,7039093802	0,0957634632	0,0105383300
2873,50	3,4293153645	3,7037735729	0,1143421377	0,0089353757
2874,00	3,4308667435	3,7036878184	0,1065521042	0,0088227575
2874,50	3,4316561527	3,7036212966	0,1072107553	0,0102051359
2875,00	3,4331996852	3,7039163137	0,1212542267	0,0099841054
2875,50	3,4342043603	3,7038494844	0,0947115987	0,0151893738
2876,00	3,4357819448	3,7043529376	0,1074591755	0,0142367705
2876,50	3,4373893909	3,7043205070	0,1055386332	0,0134511020
2877,00	3,4381125845	3,7044820526	0,0975092832	0,0111173416
2877,50	3,4393688076	3,7042889553	0,0992395152	0,0087159560
2878,00	3,4404671870	3,7045339219	0,1238920795	0,0125053265
2878,50	3,4418006502	3,7044103476	0,1388680706	0,0095893544
2879,00	3,4426378222	3,7043890460	0,1505107134	0,0112094835
2879,50	3,4441321904	3,7041490188	0,1998269543	0,0068669590
2880,00	3,4543058978	3,7042351975	0,1983956788	0,2981655582
2880,50	3,4468356541	3,7034381686	0,1112876688	0,0137240139
2881,00	3,4481781757	3,7038036679	0,1084054990	0,0100451699
2881,50	3,4488678197	3,7037764759	0,1097412996	0,0084816261
2882,00	3,4505942569	3,7034965126	0,1022315094	0,0104922448
2882,50	3,4516477274	3,7037921004	0,1218316164	0,0148770052
2883,00	3,4531746237	3,7034834194	0,1129769780	0,0139933200
2883,50	3,4539443025	3,7038430430	0,1008980124	0,0160825372
2884,00	3,4553390291	3,7036644213	0,0973249412	0,0118276525
2884,50	3,4569834599	3,7039072149	0,1035719603	0,0148641804
2885,00	3,4578485315	3,7039828371	0,0991537050	0,0163098946
2885,50	3,4592744289	3,7039872897	0,1064544933	0,0114197274
2886,00	3,4600882099	3,7042171972	0,1211492545	0,0131923652
2886,50	3,4615126596	3,7041343603	0,1075160389	0,0093903380
2887,00	3,4622721393	3,7041562320	0,1352488534	0,0112606079
2887,50	3,4637172351	3,7042946585	0,1248636729	0,0076366529
2888,00	3,4645461259	3,7041520269	0,1222973903	0,0087903841
2888,50	3,4661550617	3,7037189567	0,1605388172	0,0078157718
2889,00	3,4676824907	3,7035537451	0,1747259663	0,0075201967
2889,50	3,4686012588	3,7036530025	0,1494183764	0,0114710082
2890,00	3,4698356104	3,7038060442	0,1445818167	0,0066714820
2890,50	3,4707939591	3,7035430912	0,1245525963	0,0100502498
2891,00	3,4722534159	3,7033602928	0,1131354361	0,0068661293
2891,50	3,4727698612	3,7033289190	0,1225343005	0,0067078575
2892,00	3,4745991629	3,7035826894	0,1012421329	0,0074747904
2892,50	3,4753167972	3,7033629382	0,1128400621	0,0061600274
2893,00	3,4769320074	3,7035539106	0,1055989631	0,0084508532
2893,50	3,4786411541	3,7036905956	0,1204849308	0,0069051020
2894,00	3,4793331161	3,7035360997	0,1171435856	0,0063975427
2894,50	3,4807549067	3,7035507691	0,1105967578	0,0065665605
2895,00	3,4815874818	3,7034716750	0,1164238750	0,0071474123
2895,50	3,4830488716	3,7035350557	0,1226287620	0,0052818962
2896,00	3,4840141605	3,7033045374	0,1035781633	0,0077492206
2896,50	3,4855312391	3,7036963815	0,1105267476	0,0081016177
2897,00	3,4863614717	3,7039003439	0,1041148671	0,0088695885
2897,50	3,4880067340	3,7039241289	0,0975988029	0,0079643452
2898,00	3,4894769475	3,7041565566	0,0927192246	0,0084591721
2898,50	3,4903612701	3,7038909220	0,1107505399	0,0092040126
2899,00	3,4920409735	3,7039763337	0,1207932709	0,0116167376
2899,50	3,4927280109	3,7041477125	0,1028172467	0,0104989476
2900,00	3,4943259632	3,7043689108	0,0981505188	0,0097039449
2900,50	3,5087496667	3,7044069326	0,0969503523	13,2594544250
2901,00	3,4965597341	3,7046911013	0,1025338601	0,0081044669
2901,50	3,5127092676	3,7046689558	0,1046073437	0,3712352044
2902,00	3,4988697761	3,7045302792	0,1097670355	0,0064827135
2902,50	3,5004340943	3,7042602262	0,1426866228	0,0062916685
2903,00	3,5137615154	3,7043343829	0,1563029938	0,8810816140
2903,50	3,5153456863	3,7040720604	0,2072279996	0,3142889229
2904,00	3,5037684345	3,7039603893	0,1861730512	0,0076215037
2904,50	3,5054037568	3,7035505114	0,1295654015	0,0103913516
2905,00	3,5063245777	3,7036344108	0,1135726456	0,0111363032
2905,50	3,5184799998	3,7035749549	0,1109939915	1,5803127282
2906,00	3,5085261789	3,7036903748	0,1237933703	0,0101654515
2906,50	3,5101247104	3,7033573769	0,1268407088	0,0088374864
2907,00	3,5117675913	3,7036520579	0,1296178564	0,0083009330
2907,50	3,5124283496	3,7035129427	0,1219727128	0,0071142330
2908,00	3,5142471384	3,7037003580	0,1101537270	0,0083359333
2908,50	3,5149971857	3,7038888588	0,1018589195	0,0104379977
2909,00	3,5164972922	3,7038146528	0,0908154874	0,0070346798
2909,50	3,5175114720	3,7039454596	0,0840762314	0,0102211366
2910,00	3,5187972438	3,7040870488	0,0945404978	0,0084352499
2910,50	3,5197466442	3,7042652458	0,0894818024	0,0086140811
2911,00	3,5212646417	3,7046699714	0,0979179636	0,0088198728
2911,50	3,5229013718	3,7046460888	0,1157103605	0,0077804805
2912,00	3,5330310053	3,7043044585	0,1471990651	1,0623357004
2912,50	3,5320818703	3,7045560155	0,1902950202	0,9607111154
2913,00	3,5263092534	3,7038004661	0,2343299521	0,0088338142
2913,50	3,5278514884	3,7030882130	0,1288570466	0,0082920593
2914,00	3,5285904578	3,7032716912	0,1344000869	0,0067896845
2914,50	3,5303349374	3,7031681419	0,1504727489	0,0087112973
2915,00	3,5312865041	3,7032125883	0,1470683245	0,0090266606
2915,50	3,5327158629	3,7031576410	0,1272209759	0,0096203752
2916,00	3,5343268918	3,7029906107	0,0969857775	0,0088373935
2916,50	3,5423192431	3,7033951063	0,0996386045	1,1178709851
2917,00	3,5448118381	3,7033415646	0,1219540524	1,1283517873
2917,50	3,5374997520	3,7034784128	0,1118576792	0,0072831593
2918,00	3,5390648897	3,7034915087	0,0982304743	0,0071836609
2918,50	3,5400512845	3,7034877060	0,1198793869	0,0116285898
2919,00	3,5415129908	3,7034457551	0,1150540640	0,0072816348
2919,50	3,5422852353	3,7034199716	0,1346818932	0,0055265975
2920,00	3,5440915061	3,7031414155	0,1195901895	0,0113629102
2920,50	3,5455237866	3,7031075788	0,1317481565	0,0075589925
2921,00	3,5464750575	3,7031982652	0,1104987693	0,0118061295
2921,50	3,5480573419	3,7035176878	0,0887122899	0,0116080002
