========================================================================================================================
ПАРАМЕТРЫ СВЯЗИ И МАГНОНОВ ДЛЯ КАЖДОГО ЗНАЧЕНИЯ МАГНИТНОГО ПОЛЯ
========================================================================================================================

    Поле (Э)    ω_m (ГГц)     ω_m_эксп      J (ГГц)      Γ (ГГц)      α (ГГц)      γ (ГГц)
------------------------------------------------------------------------------------------------------------------------
     2850.00     3.376878     3.376878     0.091980     0.090135     0.105305     0.159271
     2855.00     3.389531     3.389531     0.052441     0.049879     0.043910     0.048773
     2856.00     3.392061     3.392061     0.052575     0.052303     0.053219     0.053629
     2857.50     3.395857     3.395857     0.055633     0.055957     0.050997     0.061383
     2858.50     3.398388     3.398388     0.055493     0.052873     0.039515     0.054804
     2860.50     3.403449     3.403449     0.054960     0.052694     0.037953     0.054433
     2861.00     3.404714     3.404714     0.055660     0.052805     0.037477     0.054663
     2862.50     3.408510     3.408510     0.056146     0.054585     0.040871     0.058411
     2867.50     3.421163     3.421163     0.052945     0.049886     0.041503     0.048787
     2868.00     3.422429     3.422429     0.052910     0.050387     0.040923     0.049772
     2870.00     3.427490     3.427490     0.054934     0.052419     0.037252     0.053867
     2870.50     3.428755     3.428755     0.053470     0.050824     0.037493     0.050639
     2871.00     3.430020     3.430020     0.054413     0.051471     0.038117     0.051936
     2872.50     3.433816     3.433816     0.053614     0.050261     0.036678     0.049523
     2874.00     3.437612     3.437612     0.053160     0.049546     0.034102     0.048124
     2874.50     3.438878     3.438878     0.052559     0.048225     0.035123     0.045592
     2876.00     3.442673     3.442673     0.050213     0.044568     0.037263     0.038939
     2878.00     3.447735     3.447735     0.050517     0.046170     0.044614     0.041789
     2878.50     3.449000     3.449000     0.051195     0.049272     0.050644     0.047593
     2879.00     3.450265     3.450265     0.050138     0.048374     0.057275     0.045874
     2881.00     3.455327     3.455327     0.050899     0.047056     0.035640     0.043409
     2881.50     3.456592     3.456592     0.051962     0.047911     0.035526     0.044999
     2885.50     3.466714     3.466714     0.049358     0.044787     0.035352     0.039324
     2887.50     3.471776     3.471776     0.050655     0.047778     0.042665     0.044750
     2889.50     3.476837     3.476837     0.046892     0.046233     0.056860     0.041904
     2890.50     3.479367     3.479367     0.048410     0.045518     0.043716     0.040617
     2894.00     3.488224     3.488224     0.049584     0.046751     0.038185     0.042847
     2895.00     3.490755     3.490755     0.049108     0.045893     0.038201     0.041289
     2897.00     3.495816     3.495816     0.048735     0.043214     0.032907     0.036610
