====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
----------------------------------------------------------------------------------------------------
     2850.00     3.384504    -0.054295     3.703451    -0.074596     3.379113    -0.031799     3.701215    -0.030928
     2855.00     3.385082    -0.060122     3.704399    -0.007374     3.391858    -0.031499     3.701123    -0.031228
     2856.00     3.387312    -0.070339     3.703980    -0.006465     3.394408    -0.031436     3.701103    -0.031291
     2857.50     3.390362    -0.070620     3.703669    -0.003963     3.398233    -0.031340     3.701074    -0.031388
     2858.50     3.392661    -0.058223     3.703773    -0.004878     3.400784    -0.031274     3.701054    -0.031453
     2860.50     3.398205    -0.056763     3.703939    -0.004775     3.405886    -0.031139     3.701013    -0.031588
     2861.00     3.398798    -0.056609     3.703772    -0.004453     3.407162    -0.031104     3.701003    -0.031623
     2862.50     3.402621    -0.061044     3.703791    -0.003411     3.410989    -0.030999     3.700971    -0.031728
     2867.50     3.414566    -0.059569     3.703606    -0.005519     3.423754    -0.030627     3.700859    -0.032100
     2868.00     3.416052    -0.059277     3.703517    -0.005231     3.425031    -0.030588     3.700847    -0.032139
     2870.00     3.420618    -0.057453     3.703408    -0.003384     3.430140    -0.030428     3.700800    -0.032300
     2870.50     3.422291    -0.056657     3.703532    -0.004422     3.431417    -0.030387     3.700788    -0.032341
     2871.00     3.422945    -0.057896     3.703523    -0.003806     3.432695    -0.030345     3.700775    -0.032382
     2872.50     3.426838    -0.055982     3.703599    -0.004281     3.436528    -0.030218     3.700738    -0.032509
     2874.00     3.430867    -0.053276     3.703688    -0.004411     3.440363    -0.030088     3.700700    -0.032639
     2874.50     3.431656    -0.053605     3.703621    -0.005103     3.441641    -0.030044     3.700687    -0.032684
     2876.00     3.435782    -0.053730     3.704353    -0.007118     3.445476    -0.029908     3.700647    -0.032819
     2878.00     3.440467    -0.061946     3.704534    -0.006253     3.450592    -0.029720     3.700593    -0.033007
     2878.50     3.441801    -0.069434     3.704410    -0.004795     3.451871    -0.029672     3.700579    -0.033055
     2879.00     3.442638    -0.075255     3.704389    -0.005605     3.453151    -0.029624     3.700565    -0.033104
     2881.00     3.448178    -0.054203     3.703804    -0.005023     3.458269    -0.029424     3.700508    -0.033303
     2881.50     3.448868    -0.054871     3.703776    -0.004241     3.459549    -0.029373     3.700493    -0.033355
     2885.50     3.459274    -0.053227     3.703987    -0.005710     3.469793    -0.028942     3.700371    -0.033786
     2887.50     3.463717    -0.062432     3.704295    -0.003818     3.474918    -0.028711     3.700308    -0.034016
     2889.50     3.468601    -0.074709     3.703653    -0.005736     3.480045    -0.028470     3.700241    -0.034257
     2890.50     3.470794    -0.062276     3.703543    -0.005025     3.482610    -0.028345     3.700207    -0.034382
     2894.00     3.479333    -0.058572     3.703536    -0.003199     3.491590    -0.027883     3.700084    -0.034845
     2895.00     3.481587    -0.058212     3.703472    -0.003574     3.494157    -0.027743     3.700048    -0.034984
     2897.00     3.486361    -0.052057     3.703900    -0.004435     3.499294    -0.027453     3.699973    -0.035274
     2899.50     3.492728    -0.051409     3.704148    -0.005249     3.505717    -0.027068     3.699876    -0.035659
     2901.00     3.496560    -0.051267     3.704691    -0.004052     3.509573    -0.026824     3.699816    -0.035903
     2902.00     3.498870    -0.054884     3.704530    -0.003241     3.512144    -0.026656     3.699775    -0.036071
     2904.50     3.505404    -0.064783     3.703551    -0.005196     3.518575    -0.026215     3.699671    -0.036513
     2906.00     3.508526    -0.061897     3.703690    -0.005083     3.522435    -0.025934     3.699607    -0.036793
     2907.50     3.512428    -0.060986     3.703513    -0.003557     3.526296    -0.025640     3.699541    -0.037087
     2908.00     3.514247    -0.055077     3.703700    -0.004168     3.527584    -0.025540     3.699519    -0.037188
     2908.50     3.514997    -0.050929     3.703889    -0.005219     3.528871    -0.025437     3.699497    -0.037290
     2911.50     3.522901    -0.057855     3.704646    -0.003890     3.536597    -0.024788     3.699363    -0.037939
     2915.50     3.532716    -0.063610     3.703158    -0.004810     3.546901    -0.023818     3.699181    -0.038909
     2917.50     3.537500    -0.055929     3.703478    -0.003642     3.552052    -0.023282     3.699091    -0.039445
     2920.00     3.544092    -0.059795     3.703141    -0.005681     3.558488    -0.022555     3.698983    -0.040172
     2921.00     3.546475    -0.055249     3.703198    -0.005903     3.561060    -0.022245     3.698941    -0.040482
     2921.50     3.548057    -0.044356     3.703518    -0.005804     3.562346    -0.022086     3.698921    -0.040641
     2922.50     3.550297    -0.040078     3.704145    -0.004804     3.564916    -0.021758     3.698881    -0.040969
     2924.00     3.553489    -0.045113     3.704502    -0.003832     3.568767    -0.021243     3.698826    -0.041484
     2927.50     3.562423    -0.065083     3.704620    -0.004293     3.577726    -0.019916     3.698724    -0.042812
     2929.00     3.567262    -0.060586     3.703429    -0.007984     3.581549    -0.019287     3.698697    -0.043440
     2930.00     3.569679    -0.057831     3.703456    -0.008902     3.584090    -0.018847     3.698687    -0.043881
     2932.50     3.575785    -0.059426     3.703730    -0.004995     3.590408    -0.017663     3.698695    -0.045064
     2935.00     3.582138    -0.044287     3.704267    -0.003289     3.596660    -0.016352     3.698769    -0.046375
     2935.50     3.582829    -0.043988     3.704351    -0.002718     3.597901    -0.016074     3.698794    -0.046654
     2936.00     3.584385    -0.044262     3.704552    -0.002492     3.599137    -0.015790     3.698823    -0.046938
     2936.50     3.586121    -0.044217     3.704864    -0.003538     3.600369    -0.015500     3.698856    -0.047227
     2937.00     3.587198    -0.051724     3.704853    -0.004664     3.601597    -0.015205     3.698894    -0.047522
     2939.50     3.593358    -0.093118     3.703390    -0.002222     3.607660    -0.013643     3.699158    -0.049084
     2940.00     3.594176    -0.069835     3.703365    -0.002775     3.608855    -0.013313     3.699228    -0.049414
     2941.50     3.598160    -0.054464     3.703217    -0.002636     3.612399    -0.012292     3.699480    -0.050435
     2942.50     3.600603    -0.053375     3.703097    -0.002523     3.614723    -0.011585     3.699686    -0.051142
     2943.50     3.602921    -0.058716     3.703433    -0.003044     3.617015    -0.010858     3.699925    -0.051870
     2944.50     3.605457    -0.058787     3.703321    -0.002898     3.619270    -0.010113     3.700200    -0.052615
     2945.00     3.607027    -0.057488     3.703412    -0.002616     3.620384    -0.009734     3.700352    -0.052993
     2948.00     3.614134    -0.045663     3.703539    -0.002337     3.626846    -0.007397     3.701481    -0.055330
     2948.50     3.616096    -0.036181     3.704148    -0.003668     3.627885    -0.007000     3.701708    -0.055727
     2949.50     3.618539    -0.034555     3.704547    -0.003821     3.629927    -0.006204     3.702196    -0.056523
     2950.00     3.620088    -0.035293     3.705031    -0.003886     3.630931    -0.005805     3.702458    -0.056922
     2957.00     3.637438    -0.063179     3.703280    -0.004378     3.643773    -0.000432     3.707330    -0.062295
     2958.50     3.642279    -0.057498     3.703515    -0.009748     3.646250     0.000614     3.708649    -0.063342
     2959.50     3.645022    -0.055502     3.703567    -0.008363     3.647853     0.001283     3.709577    -0.064011
     2966.50     3.656583    -0.007968     3.708159    -0.073769     3.658151     0.005224     3.716993    -0.067951
     2967.50     3.658573    -0.004770     3.709978    -0.028055     3.659509     0.005675     3.718166    -0.068402
     2969.00     3.662189    -0.006718     3.705077    -0.030257     3.661499     0.006297     3.719972    -0.069024
     2970.00     3.664133    -0.013267     3.703328    -0.031399     3.662797     0.006675     3.721204    -0.069403
     2982.00     3.692510    -0.000127     3.701829    -0.046836     3.676790     0.009072     3.737578    -0.071799
     2982.50     3.693969    -0.000129     3.703552    -0.044646     3.677315     0.009090     3.738319    -0.071817
     2983.00     3.694668    -0.000070     3.704276    -0.042453     3.677835     0.009102     3.739064    -0.071829
     2983.50     3.696060    -0.000113     3.706023    -0.048952     3.678350     0.009108     3.739814    -0.071835
     2984.00     3.696863    -0.000077     3.706759    -0.049041     3.678861     0.009107     3.740569    -0.071835
     2984.50     3.698135    -0.000129     3.708536    -0.046870     3.679367     0.009101     3.741328    -0.071828
     2985.00     3.698817    -0.000140     3.710170    -0.046017     3.679869     0.009089     3.742091    -0.071816
     2985.50     3.699471    -0.000128     3.710785    -0.058369     3.680366     0.009071     3.742860    -0.071798
     2986.00     3.700300    -0.000195     3.712475    -0.058451     3.680858     0.009047     3.743633    -0.071774
     2986.50     3.700709    -0.000151     3.713241    -0.063950     3.681346     0.009017     3.744410    -0.071744
     2987.00     3.701246    -0.000162     3.714820    -0.064379     3.681829     0.008981     3.745193    -0.071709
     2987.50     3.701788    -0.000143     3.715710    -0.059842     3.682307     0.008940     3.745980    -0.071667
     2988.00     3.702100    -0.000167     3.717242    -0.056091     3.682780     0.008893     3.746772    -0.071621
     2988.50     3.702294    -0.000204     3.718108    -0.060782     3.683249     0.008841     3.747568    -0.071568
     2990.00     3.702562    -0.000238     3.722331    -0.064074     3.684626     0.008652     3.749988    -0.071379
     2990.50     3.702922    -0.000238     3.723762    -0.063254     3.685075     0.008578     3.750804    -0.071305
     2991.00     3.703125    -0.000223     3.724415    -0.066753     3.685519     0.008499     3.751625    -0.071226
     2991.50     3.703177    -0.000121     3.726117    -0.062558     3.685958     0.008415     3.752451    -0.071142
     2992.00     3.703407    -0.000160     3.726927    -0.069183     3.686392     0.008326     3.753283    -0.071053
     2992.50     3.703411    -0.000154     3.728530    -0.058904     3.686821     0.008232     3.754119    -0.070959
     2993.00     3.702860    -0.000086     3.730145    -0.062915     3.687245     0.008133     3.754961    -0.070860
     2994.00     3.703224    -0.000097     3.732634    -0.061487     3.688076     0.007920     3.756659    -0.070647
     2994.50     3.703276    -0.000079     3.733187    -0.064677     3.688484     0.007807     3.757517    -0.070534
     2995.00     3.703378    -0.000111     3.735045    -0.061822     3.688887     0.007689     3.758379    -0.070417
     2996.00     3.703563    -0.000135     3.737751    -0.067009     3.689676     0.007441     3.760121    -0.070168
     2996.50     3.703465    -0.000090     3.738570    -0.062853     3.690062     0.007310     3.761000    -0.070037
     2997.00     3.703550    -0.000122     3.740241    -0.064722     3.690443     0.007175     3.761884    -0.069902
     2997.50     3.703427    -0.000132     3.741924    -0.069572     3.690818     0.007036     3.762774    -0.069764
     2998.50     3.703563    -0.000156     3.744373    -0.066796     3.691552     0.006747     3.764571    -0.069474
     2999.00     3.703476    -0.000170     3.745338    -0.060721     3.691911     0.006596     3.765478    -0.069324
     2999.50     3.703678    -0.000171     3.746923    -0.060639     3.692263     0.006442     3.766391    -0.069170
     3000.00     3.703496    -0.000166     3.747838    -0.063254     3.692610     0.006285     3.767309    -0.069012
     3000.50     3.703503    -0.000166     3.749675    -0.068915     3.692951     0.006124     3.768233    -0.068851
     3001.00     3.703570    -0.000180     3.750682    -0.068006     3.693287     0.005960     3.769163    -0.068687
     3001.50     3.703597    -0.000183     3.752304    -0.066787     3.693616     0.005793     3.770099    -0.068520
     3002.00     3.703725    -0.000118     3.753667    -0.060992     3.693940     0.005623     3.771041    -0.068350
     3002.50     3.703598    -0.000191     3.754735    -0.065344     3.694258     0.005450     3.771988    -0.068177
     3003.00     3.703483    -0.000186     3.756364    -0.069056     3.694570     0.005274     3.772942    -0.068001
     3006.00     3.703613    -0.091915     3.778302    -0.069925     3.696317     0.004170     3.778787    -0.066897
     3010.00     3.703620    -0.000605     3.775086    -0.066151     3.698316     0.002602     3.786910    -0.065329
     3010.50     3.703796    -0.000622     3.775978    -0.064990     3.698540     0.002402     3.787951    -0.065129
     3011.00     3.703665    -0.000368     3.777648    -0.063270     3.698758     0.002201     3.788998    -0.064928
     3011.50     3.703428    -0.000361     3.778641    -0.070086     3.698971     0.001999     3.790051    -0.064727
     3012.00     3.703576    -0.000497     3.780232    -0.070684     3.699178     0.001798     3.791109    -0.064525
     3012.50     3.703784    -0.000517     3.781151    -0.065331     3.699380     0.001596     3.792172    -0.064323
     3013.00     3.703555    -0.000502     3.782739    -0.065809     3.699576     0.001394     3.793241    -0.064121
     3013.50     3.703708    -0.000690     3.783602    -0.060583     3.699767     0.001192     3.794316    -0.063919
     3014.00     3.703603    -0.000514     3.785289    -0.063162     3.699953     0.000990     3.795395    -0.063717
     3014.50     3.703750    -0.000700     3.787031    -0.059756     3.700133     0.000788     3.796480    -0.063516
     3015.00     3.703669    -0.000700     3.787982    -0.061655     3.700309     0.000587     3.797570    -0.063314
     3015.50     3.703733    -0.000709     3.789556    -0.061739     3.700479     0.000387     3.798665    -0.063114
     3016.00     3.703762    -0.000547     3.790724    -0.061370     3.700644     0.000187     3.799765    -0.062914
     3016.50     3.703709    -0.000539     3.792308    -0.062236     3.700805    -0.000013     3.800870    -0.062714
     3017.00     3.703577    -0.000552     3.793234    -0.061718     3.700961    -0.000211     3.801979    -0.062516
     3017.50     3.703642    -0.000778     3.794869    -0.062412     3.701112    -0.000409     3.803093    -0.062318
     3018.00     3.703677    -0.000772     3.795880    -0.064353     3.701258    -0.000606     3.804212    -0.062121
     3018.50     3.703582    -0.000760     3.797460    -0.061610     3.701400    -0.000802     3.805336    -0.061926
     3019.50     3.703723    -0.000589     3.800167    -0.066028     3.701671    -0.001190     3.807595    -0.061538
     3020.00     3.703824    -0.000799     3.801619    -0.059401     3.701800    -0.001382     3.808732    -0.061345
     3020.50     3.703929    -0.000830     3.802848    -0.064197     3.701925    -0.001573     3.809872    -0.061155
     3021.00     3.703688    -0.000810     3.804401    -0.059789     3.702046    -0.001762     3.811017    -0.060965
     3021.50     3.703611    -0.000595     3.805315    -0.062102     3.702163    -0.001950     3.812165    -0.060777
     3022.00     3.703645    -0.000595     3.807225    -0.062321     3.702276    -0.002137     3.813317    -0.060590
     3024.00     3.703741    -0.000813     3.812052    -0.060491     3.702692    -0.002868     3.817962    -0.059860
     3024.50     3.703556    -0.000841     3.813900    -0.063474     3.702787    -0.003046     3.819132    -0.059681
     3025.00     3.703665    -0.000849     3.814883    -0.060055     3.702879    -0.003223     3.820305    -0.059504
     3025.50     3.703698    -0.000639     3.816660    -0.060928     3.702968    -0.003398     3.821482    -0.059329
     3027.50     3.703771    -0.000629     3.821726    -0.064307     3.703294    -0.004081     3.826217    -0.058646
     3028.00     3.703658    -0.000634     3.823348    -0.064601     3.703369    -0.004247     3.827408    -0.058480
     3028.50     3.703676    -0.000475     3.824437    -0.061372     3.703440    -0.004412     3.828601    -0.058315
     3029.00     3.703741    -0.000455     3.826037    -0.065900     3.703510    -0.004574     3.829798    -0.058153
     3031.00     3.703731    -0.000855     3.831090    -0.064954     3.703762    -0.005206     3.834606    -0.057521
     3031.50     3.703779    -0.000854     3.832089    -0.061496     3.703820    -0.005360     3.835814    -0.057368
     3032.00     3.703715    -0.000856     3.833955    -0.068431     3.703876    -0.005511     3.837023    -0.057216
     3032.50     3.703693    -0.001135     3.835639    -0.065405     3.703929    -0.005661     3.838235    -0.057066
     3034.50     3.703832    -0.001119     3.840786    -0.067904     3.704124    -0.006242     3.843102    -0.056486
     3041.00     3.703811    -0.000513     3.858103    -0.067779     3.704584    -0.007938     3.859091    -0.054789
     3041.50     3.703767    -0.000505     3.860032    -0.067452     3.704610    -0.008057     3.860330    -0.054670
     3042.00     3.703849    -0.000501     3.860978    -0.066625     3.704636    -0.008175     3.861569    -0.054552
     3045.50     3.703722    -0.001203     3.870265    -0.067403     3.704788    -0.008957     3.870275    -0.053770
     3046.00     3.703742    -0.001505     3.871988    -0.061232     3.704806    -0.009063     3.871522    -0.053664
     3046.50     3.703689    -0.001961     3.873075    -0.060405     3.704823    -0.009168     3.872769    -0.053559
     3047.00     3.703759    -0.001614     3.874818    -0.063525     3.704840    -0.009272     3.874018    -0.053456
     3049.00     3.703692    -0.000716     3.880128    -0.057054     3.704901    -0.009672     3.879019    -0.053055
     3049.50     3.703814    -0.000675     3.881788    -0.061837     3.704914    -0.009769     3.880271    -0.052958
     3050.00     3.703526    -0.000684     3.882733    -0.058462     3.704927    -0.009865     3.881523    -0.052862
