====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
----------------------------------------------------------------------------------------------------
     2856.00     3.388814     0.000000     3.668949     0.053503     3.644472    -0.095908     3.413291    -0.387766
     2856.50     3.390285     0.000825     3.669181     0.054264     3.644304    -0.095960     3.414859    -0.387714
     2857.00     3.391084     0.000833     3.669185     0.056615     3.644135    -0.096012     3.416429    -0.387662
     2857.50     3.392723     0.000833     3.669211     0.057051     3.643964    -0.096062     3.417999    -0.387612
     2858.00     3.393273     0.000844     3.669211     0.057113     3.643792    -0.096112     3.419571    -0.387562
     2858.50     3.394874     0.000847     3.669227     0.057113     3.643619    -0.096161     3.421145    -0.387513
     2859.00     3.395718     0.000847     3.669221     0.057132     3.643444    -0.096209     3.422719    -0.387465
     2859.50     3.397282     0.000848     3.669221     0.057132     3.643269    -0.096256     3.424295    -0.387418
     2860.00     3.398819     0.000848     3.669221     0.057132     3.643092    -0.096302     3.425872    -0.387372
     2860.50     3.399538     0.000857     3.669227     0.057132     3.642913    -0.096348     3.427450    -0.387327
     2861.00     3.401132     0.000862     3.669245     0.057154     3.642734    -0.096392     3.429030    -0.387283
     2861.50     3.401940     0.000866     3.669268     0.057132     3.642553    -0.096435     3.430611    -0.387239
     2862.00     3.403453     0.000870     3.669279     0.057132     3.642371    -0.096477     3.432193    -0.387197
     2862.50     3.404090     0.000870     3.669281     0.057132     3.642187    -0.096518     3.433776    -0.387156
     2863.00     3.405612     0.000870     3.669281     0.057120     3.642003    -0.096558     3.435361    -0.387116
     2863.50     3.406489     0.000875     3.669330     0.057120     3.641817    -0.096597     3.436947    -0.387077
     2864.00     3.407960     0.000870     3.669387     0.057120     3.641630    -0.096635     3.438534    -0.387040
     2864.50     3.409609     0.000870     3.669405     0.057113     3.641441    -0.096671     3.440122    -0.387003
     2865.00     3.410294     0.000870     3.669409     0.057106     3.641251    -0.096707     3.441712    -0.386968
