========================================================================================================================
ПАРАМЕТРЫ СВЯЗИ И МАГНОНОВ ДЛЯ КАЖДОГО ЗНАЧЕНИЯ МАГНИТНОГО ПОЛЯ
========================================================================================================================

    Поле (Э)    ω_m (ГГц)     ω_m_эксп      J (ГГц)      Γ (ГГц)      α (ГГц)      γ (ГГц)
------------------------------------------------------------------------------------------------------------------------
     2856.00     3.396598     3.396598     0.152464     0.110106     0.745586     0.620256
     2856.50     3.397998     3.398300     0.152876     0.109904     0.744892     0.617977
     2857.00     3.399398     3.399104     0.154134     0.110545     0.754485     0.625210
     2857.50     3.400798     3.400769     0.154008     0.110412     0.753412     0.623701
     2858.00     3.402198     3.401319     0.154033     0.109939     0.748158     0.618375
     2858.50     3.403598     3.402935     0.153668     0.109596     0.744305     0.614518
     2859.00     3.404998     3.403773     0.153562     0.109151     0.739344     0.609538
     2859.50     3.406398     3.405337     0.153202     0.108803     0.735463     0.605657
     2860.00     3.407798     3.406874     0.152852     0.108449     0.731533     0.601727
     2860.50     3.409198     3.407599     0.152781     0.107971     0.726251     0.596435
     2861.00     3.410598     3.409212     0.152430     0.107630     0.722519     0.592676
     2861.50     3.411998     3.410043     0.152320     0.107154     0.717262     0.587437
     2862.00     3.413398     3.411566     0.151979     0.106790     0.713288     0.583460
     2862.50     3.414798     3.412205     0.151929     0.106302     0.707966     0.578138
     2863.00     3.416198     3.413728     0.151573     0.105935     0.703970     0.574153
     2863.50     3.417598     3.414654     0.151457     0.105473     0.698977     0.569155
     2864.00     3.418998     3.416181     0.151141     0.105095     0.694901     0.565084
     2864.50     3.420398     3.417848     0.150750     0.104742     0.691099     0.561290
     2865.00     3.421798     3.418537     0.150675     0.104255     0.685892     0.556090
     2865.50     3.423198     3.419994     0.150345     0.103879     0.681883     0.552082
     2866.00     3.424598     3.420926     0.150249     0.103392     0.676683     0.546914
     2866.50     3.425998     3.422623     0.149882     0.103023     0.672769     0.543015
     2867.00     3.427398     3.423403     0.149708     0.102494     0.667067     0.537453
     2867.50     3.428798     3.425026     0.149306     0.102118     0.663097     0.533518
     2868.00     3.430198     3.425757     0.149218     0.101576     0.657361     0.527876
     2868.50     3.431598     3.427484     0.148799     0.101206     0.653485     0.524034
     2869.00     3.432998     3.428853     0.148512     0.100795     0.649225     0.519787
     2869.50     3.434398     3.429706     0.148379     0.100330     0.644448     0.515003
     2870.00     3.435798     3.431431     0.147991     0.099964     0.640698     0.511253
     2870.50     3.437198     3.432332     0.147838     0.099506     0.636021     0.506576
     2871.00     3.438598     3.433798     0.147500     0.099118     0.632079     0.502633
     2871.50     3.439998     3.434452     0.147416     0.098615     0.626978     0.497549
